Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,28,26.7,58.1,38,418,"3,420",38,69,52,121,65,4,5,74,2,1.82,1.37,3.18,1.71,3.08
Bournemouth,28,26.6,46.9,38,418,"3,420",38,55,43,98,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39
Brighton,21,27.4,42.4,38,418,"3,420",38,35,24,59,30,5,6,62,4,0.92,0.63,1.55,0.79,1.42
Burnley,23,28,41.2,38,418,"3,420",38,43,32,75,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92
Cardiff City,25,27.7,35.4,38,418,"3,420",38,33,20,53,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32
Chelsea,24,27.3,62.9,38,418,"3,420",38,61,52,113,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84
Crystal Palace,26,27.4,45.2,38,418,"3,420",38,48,33,81,38,10,11,59,2,1.26,0.87,2.13,1,1.87
Everton,23,25.7,51.5,38,418,"3,420",38,53,34,87,51,2,5,57,4,1.39,0.89,2.29,1.34,2.24
Fulham,28,26,48.8,38,418,"3,420",38,33,24,57,31,2,3,72,2,0.87,0.63,1.5,0.82,1.45
Huddersfield Town,31,26.2,47.2,38,418,"3,420",38,21,13,34,20,1,1,57,4,0.55,0.34,0.89,0.53,0.87
Leicester City,25,25.9,50.9,38,418,"3,420",38,48,34,82,43,5,7,63,5,1.26,0.89,2.16,1.13,2.03
Liverpool,23,26.1,61.8,38,418,"3,420",38,86,55,141,79,7,7,41,2,2.26,1.45,3.71,2.08,3.53
Manchester City,21,26.7,67.9,38,418,"3,420",38,91,71,162,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18
Manchester Utd,28,26.3,54.7,38,418,"3,420",38,65,40,105,56,9,12,77,4,1.71,1.05,2.76,1.47,2.53
Newcastle United,24,26.9,40.4,38,418,"3,420",38,41,33,74,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92
Southampton,30,25.4,43.4,38,418,"3,420",38,44,27,71,40,4,5,75,3,1.16,0.71,1.87,1.05,1.76
Tottenham Hotspur,28,26.8,59,38,418,"3,420",38,66,47,113,62,4,4,58,3,1.74,1.24,2.97,1.63,2.87
Watford,25,28.5,46.7,38,418,"3,420",38,51,39,90,50,1,1,80,4,1.34,1.03,2.37,1.32,2.34
West Ham United,26,27.6,48.6,38,418,"3,420",38,51,33,84,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08
Wolves,21,26.1,46.8,38,418,"3,420",38,46,35,81,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03
