,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,29,25.8,53.8,38,418,"3,420",38,56,35,91,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32
Aston Villa,28,25.7,44.1,38,418,"3,420",38,40,32,72,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87
Bournemouth,27,25.2,44.1,38,418,"3,420",38,38,24,62,34,4,4,78,3,1,0.63,1.63,0.89,1.53
Brighton,25,26.4,52.2,38,418,"3,420",38,35,24,59,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53
Burnley,22,28,41.9,38,418,"3,420",38,41,30,71,38,3,3,67,0,1.08,0.79,1.87,1,1.79
Chelsea,27,25.5,60.4,38,418,"3,420",38,69,46,115,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84
Crystal Palace,25,29.4,44.8,38,418,"3,420",38,29,20,49,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21
Everton,24,25.5,49,38,418,"3,420",38,42,32,74,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92
Leicester City,24,26.1,57.1,38,418,"3,420",38,65,48,113,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84
Liverpool,24,26.6,62.9,38,418,"3,420",38,83,69,152,78,5,5,38,1,2.18,1.82,4,2.05,3.87
Manchester City,24,26.9,66.2,38,418,"3,420",38,100,69,169,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29
Manchester Utd,29,24.8,55.8,38,418,"3,420",38,65,43,108,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58
Newcastle United,28,26.5,39,38,418,"3,420",38,38,29,67,38,0,1,66,3,1,0.76,1.76,1,1.76
Norwich City,30,26,49.3,38,418,"3,420",38,25,18,43,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08
Sheffield United,26,26.9,43.1,38,418,"3,420",38,36,25,61,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58
Southampton,25,25.9,48.9,38,418,"3,420",38,51,32,83,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13
Tottenham Hotspur,29,26.7,52,38,418,"3,420",38,56,39,95,53,3,4,84,3,1.47,1.03,2.5,1.39,2.42
Watford,26,28.9,42.9,38,418,"3,420",38,35,21,56,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29
West Ham United,29,27.4,44.1,38,418,"3,420",38,49,36,85,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13
Wolves,21,26.6,48.3,38,418,"3,420",38,49,34,83,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08
