team,possession,goals,points,season,points_group
Arsenal,56.9,67,74,2024-2025,61-80
Aston Villa,50.5,56,66,2024-2025,61-80
Bournemouth,48.5,57,56,2024-2025,41-60
Brentford,47.9,65,56,2024-2025,41-60
Brighton,52.3,64,61,2024-2025,61-80
Chelsea,57.1,61,69,2024-2025,61-80
Crystal Palace,42.8,49,53,2024-2025,41-60
Everton,40.9,39,48,2024-2025,41-60
Fulham,52.3,53,54,2024-2025,41-60
Ipswich Town,40.6,35,22,2024-2025,21-40
Leicester City,45.4,33,25,2024-2025,21-40
Liverpool,57.7,85,84,2024-2025,81-100
Manchester City,61.3,71,71,2024-2025,61-80
Manchester Utd,53.5,42,42,2024-2025,41-60
Newcastle United,51.3,66,66,2024-2025,61-80
Nottingham Forest,41.2,57,65,2024-2025,61-80
Southampton,48.5,25,12,2024-2025,0-20
Tottenham Hotspur,54.7,61,38,2024-2025,21-40
West Ham United,48.4,43,43,2024-2025,41-60
Wolves,48.1,53,42,2024-2025,41-60
Arsenal,58.2,86,89,2023-2024,81-100
Aston Villa,53.1,72,68,2023-2024,61-80
Bournemouth,44.4,52,48,2023-2024,41-60
Brentford,45.2,54,39,2023-2024,21-40
Brighton,59.8,50,48,2023-2024,41-60
Burnley,47.4,40,24,2023-2024,21-40
Chelsea,58.6,76,63,2023-2024,61-80
Crystal Palace,42.3,56,49,2023-2024,41-60
Everton,40.8,40,40,2023-2024,21-40
Fulham,50.6,54,47,2023-2024,41-60
Liverpool,61.3,80,82,2023-2024,81-100
Luton Town,42.4,49,26,2023-2024,21-40
Manchester City,65.2,94,91,2023-2024,81-100
Manchester Utd,50.6,57,60,2023-2024,41-60
Newcastle United,52.2,83,60,2023-2024,41-60
Nottingham Forest,40.6,49,32,2023-2024,21-40
Sheffield United,35.8,31,16,2023-2024,0-20
Tottenham Hotspur,61.6,69,66,2023-2024,61-80
West Ham United,41.1,58,52,2023-2024,41-60
Wolves,48.9,47,46,2023-2024,41-60
Arsenal,59.3,84,84,2022-2023,81-100
Aston Villa,49.3,49,61,2022-2023,61-80
Bournemouth,40.4,37,39,2022-2023,21-40
Brentford,43.8,56,59,2022-2023,41-60
Brighton,60.2,68,62,2022-2023,61-80
Chelsea,58.7,37,44,2022-2023,41-60
Crystal Palace,46.3,38,45,2022-2023,41-60
Everton,42.8,32,36,2022-2023,21-40
Fulham,48.8,52,52,2022-2023,41-60
Leeds United,47.0,45,31,2022-2023,21-40
Leicester City,47.7,49,34,2022-2023,21-40
Liverpool,60.8,71,67,2022-2023,61-80
Manchester City,64.7,92,89,2022-2023,81-100
Manchester Utd,53.7,56,75,2022-2023,61-80
Newcastle United,52.3,64,71,2022-2023,61-80
Nottingham Forest,37.6,36,38,2022-2023,21-40
Southampton,44.5,36,25,2022-2023,21-40
Tottenham Hotspur,50.0,68,60,2022-2023,41-60
West Ham United,42.1,41,40,2022-2023,21-40
Wolves,49.9,28,41,2022-2023,41-60
Arsenal,52.8,60,69,2021-2022,61-80
Aston Villa,46.5,50,45,2021-2022,41-60
Brentford,44.8,46,46,2021-2022,41-60
